fecha,equipo_casa,equipo_visitante,url,fase
07/11/2025,Cibao,Universidad O&M,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/2ks7mo0v65uuhvrs1px2dcnbo/match-summary,semifinales
06/11/2025,Mount Plesant Academy,Defence Force,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/2j2eyie5rd7y7ct1blmb4naqc/match-summary,semifinales
30/10/2025,Universidad O&M,Cibao,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/2jupqayxvojlchz072wppomqc/match-summary,semifinales
23/10/2025,Defence Force,Mount Plesant Academy,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/2i77risukcjigh8dhwe8pgxec/match-summary,semifinales
02/10/2025,Weymouth Wales,Cavalier,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/6pbiq1zwid07vc6ksaz7vqu50/match-summary,fase de grupos
02/10/2025,Cibao,Defence Force,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/eaox9qbaxvfzqvq3ol6bclul0/match-summary,fase de grupos
01/10/2025,Mount Plesant Academy,Universidad O&M,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/eabl5yxvcjokpubacjj3xqwwk/match-summary,fase de grupos
01/10/2025,Moca,Robinhood,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/4q7nvxf4jndqe2a0ewapos5ck/match-summary,fase de grupos
26/09/2025,Defence Force,Weymouth Wales,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/2h1t7fiirxcij989l9ieoiqdw/match-summary,fase de grupos
25/09/2025,Universidad O&M,Moca,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/kkpcsp0zgbc59wn18l5l9wk4/match-summary,fase de grupos
24/09/2025,Juventus,Cibao,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e9n9vm18oyon72jhq1gr72k9g/match-summary,fase de grupos
24/09/2025,Central,Mount Plesant Academy,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e9zfp960dxs2o8kgsiew4wufo/match-summary,fase de grupos
19/09/2025,Juventus,Weymouth Wales,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/bsn6ft7tsa3lr2c0r4munui38/match-summary,fase de grupos
19/09/2025,Robinhood,Universidad O&M,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e9az01qqh2esvu4jjsh5mezo4/match-summary,fase de grupos
18/09/2025,Cavalier,Defence Force,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e8yptlaej3auvvo8hty7kbpjo/match-summary,fase de grupos
17/09/2025,Central,Moca,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/9ierdclz7qil706z9f34wfnro/match-summary,fase de grupos
29/08/2025,Cavalier,Juventus,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e8moxow21e94hd5q9d72ctuz8/match-summary,fase de grupos
28/08/2025,Moca,Mount Plesant Academy,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/6lj3xj6fthzlas2x8byy2gnpw/match-summary,fase de grupos
27/08/2025,Weymouth Wales,Cibao,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/2zhrn3wxg2ma02g2u2j5lotuc/match-summary,fase de grupos
27/08/2025,Robinhood,Central,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e8ahae9k39h4uosrr1wnokn4k/match-summary,fase de grupos
22/08/2025,Defence Force,Juventus,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e7yan4hzf9vbxk2iepvejynf8/match-summary,fase de grupos
21/08/2025,Universidad O&M,Central,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e7m3hq903y7ytr9deiz3chq1g/match-summary,fase de grupos
20/08/2025,Mount Plesant Academy,Robinhood,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e6uhzbkp4oh5ps1o21hdli5n8/match-summary,fase de grupos
20/08/2025,Cibao,Cavalier,https://www.scoresway.com/en_GB/soccer/concacaf-caribbean-cup-2025/bygi47fmsxgbzysjdf9u481lg/match/view/e79xdwc30oj2yajnpg8mauqz8/match-summary,fase de grupos
