match_id,match_date,competition,stage,home_team,away_team,team,player_id,player_name,position,side,shirt_number,formation_place,accuratePass,gameStarted,goalKicks,goalsConceded,lostCorners,minsPlayed,totalClearance,totalPass,formationPlace,fouls,shotOffTarget,totalScoringAtt,totalTackle,totalThrows,wonTackle,wasFouled,totalSubOff,yellowCard,cornerTaken,goals,ontargetScoringAtt,totalOffside,wonCorners,blockedScoringAtt,goalAssist,totalSubOn,saves,cleanSheet,redCard
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,dj2luqi4ropj82dyiqfe5xwq1,J. White,Goalkeeper,Centre,31,1,29,1,9,1,1,90,3,39,1,,,,,,,,,,,,,,,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,4tvgcktwprmzs756xkj0qr0no,M. Forbes,Defender,Left/Centre,24,4,32,1,,1,1,90,3,45,4,1,1,1,2,6,1,,,,,,,,,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,bz4ic81047au6rl9upkfsnyfo,J. Laing,Defender,Centre,6,5,37,1,,1,3,90,2,49,5,1,1,1,3,1,3,1,,,,,,,,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,124xtdpyye8q0l3m31histnxm,Z. Deira,Defender,Centre/Right,3,6,24,1,,1,,65,4,29,6,1,,,,,,,1,1,,,,,,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,dkkv4g3lwtejqoazanse0zjmc,C. Ainsworth,Midfielder,Left,11,3,27,1,,1,2,90,1,45,3,1,,1,,6,,1,,,1,1,1,1,1,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,5oik8scypit8d99o9kgecpn9w,S. Watson,Midfielder,Left/Centre,4,8,23,1,,1,,90,2,31,8,,1,2,1,6,,1,,,,,,,,1,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,7mhox7ebowqbmbowmcu0olx0q,D. Allen,Midfielder,Centre/Right,13,7,20,1,,1,1,90,1,31,7,1,,,4,,2,,,,,,,,,,1,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,1gg3m6bdh2selr8ndf3s5gidw,J. McLeary,Midfielder,Right,27,2,18,1,,1,1,90,4,25,2,,,,,6,,2,,,,,,,,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,61ybxaacy505gx6mp5luy0kmi,J. Rigters,Striker,Left/Centre,10,11,20,1,,1,,90,,30,11,2,2,2,3,2,3,1,,1,1,,,,1,,,,,,
e8yptlaej3auvvo8hty7kbpjo,2025-09-17,Concacaf Caribbean Cup,Group Stage,Cavalier,Defence Force,Cavalier,6ahwcd5nabjpypluy0sp0xq1g,D. Massicot,Striker,Centre,7,9,16,1,,1,,88,,21,9,,3,4,,,,2,1,,,1,1,1,1,,,,,,
